"_id"	busId	isGo2Work	plannedArrivalTime	routeNumber	seqNumber	stopId	updated
5ae83df03023169da447c2b6	5ae8393c3023169da447c2ae	true	7:38	1	5	5ae83521567e17937cf407e2	2018-05-01T10:14:08.961Z
5ae83e6c3023169da447c2b9	5ae8399c3023169da447c2af	true	7:33	2	2	5ae83590567e17937cf407e5	2018-05-01T10:16:12.721Z
5ae83bdf3023169da447c2b1	5ae8393c3023169da447c2ae	true	7:23	1	1	5ae83320748fb2a67c5f6e54	2018-05-01T10:05:19.471Z
5ae83e563023169da447c2b8	5ae8399c3023169da447c2af	true	7:31	2	1	5ae8355a567e17937cf407e4	2018-05-01T10:15:50.716Z
5ae83e823023169da447c2ba	5ae8399c3023169da447c2af	true	7:34	2	3	5ae835ad567e17937cf407e6	2018-05-01T10:16:34.087Z
5ae83e0b3023169da447c2b7	5ae8393c3023169da447c2ae	true	7:40	1	6	5ae8353d567e17937cf407e3	2018-05-01T10:14:35.500Z
5ae83c4f3023169da447c2b3	5ae8393c3023169da447c2ae	true	7:34	1	3	5ae8336c748fb2a67c5f6e56	2018-05-01T10:07:11.329Z
5ae83eb53023169da447c2bb	5ae8399c3023169da447c2af	true	7:36	2	4	5ae835d0567e17937cf407e7	2018-05-01T10:17:25.502Z
5ae840363023169da447c2be	5ae839d23023169da447c2b0	true	7:22	3	1	5ae83659567e17937cf407ea	2018-05-01T10:23:50.349Z
5ae83ed53023169da447c2bc	5ae8399c3023169da447c2af	true	7:38	2	5	5ae835e6567e17937cf407e8	2018-05-01T10:17:57.527Z
5ae8404c3023169da447c2bf	5ae839d23023169da447c2b0	true	7:28	3	2	5ae83673567e17937cf407eb	2018-05-01T10:24:12.570Z
5ae83ee73023169da447c2bd	5ae8399c3023169da447c2af	true	7:40	2	6	5ae83639567e17937cf407e9	2018-05-01T10:18:15.643Z
5ae8407a3023169da447c2c1	5ae839d23023169da447c2b0	true	7:32	3	4	5ae836c5567e17937cf407ed	2018-05-01T10:24:58.190Z
5ae840663023169da447c2c0	5ae839d23023169da447c2b0	true	7:29	3	3	5ae83690567e17937cf407ec	2018-05-01T10:24:38.863Z
5ae83cdd3023169da447c2b4	5ae8393c3023169da447c2ae	true	7:37	1	4	5ae834df567e17937cf407e1	2018-05-01T10:09:33.501Z
5ae8408d3023169da447c2c2	5ae839d23023169da447c2b0	true	7:35	3	5	5ae836f2567e17937cf407ee	2018-05-01T10:25:17.077Z
