"_id"	actualArrivalDate	actualStatus	actualStopId	busId	eta	isGo2Work	updated
5b0581f005e61812182b6424	2018-05-23T15:00:00.156Z	0	5afc3d252801f3052630fe04	5af850baac5680781c7bb908	1	false	2018-05-23T15:00:00.156Z
5b0581f005e61812182b6426	2018-05-23T15:00:00.162Z	0	5afc3d252801f3052630fe04	5af850ddac5680781c7bb909	1	false	2018-05-23T15:00:00.162Z
5b0581f005e61812182b6428	2018-05-23T15:00:00.164Z	0	5afc3d252801f3052630fe04	5af85145ac5680781c7bb90a	1	false	2018-05-23T15:00:00.164Z
5b0581f005e61812182b642a	2018-05-23T15:00:00.165Z	0	5afc3d252801f3052630fe04	5af8517aac5680781c7bb90b	1	false	2018-05-23T15:00:00.165Z
5b0581f053296f000f447d04	2018-05-23T15:00:00.551Z	0	5ae83320748fb2a67c5f6e54	5ae8393c3023169da447c2ae	1	true	2018-05-23T15:00:00.551Z
5b0581f053296f000f447d06	2018-05-23T15:00:00.559Z	0	5af984f3ac5680781c7bb938	5af84fafac5680781c7bb904	1	true	2018-05-23T15:00:00.559Z
5b0581f053296f000f447d08	2018-05-23T15:00:00.559Z	0	5af990a5ac5680781c7bb97d	5af850ddac5680781c7bb909	1	true	2018-05-23T15:00:00.559Z
5b0581f053296f000f447d0a	2018-05-23T15:00:00.560Z	0	5afc3d252801f3052630fe04	5ae839d23023169da447c2b0	1	false	2018-05-23T15:00:00.560Z
5b0581f053296f000f447d0c	2018-05-23T15:00:00.560Z	0	5ae8355a567e17937cf407e4	5ae8399c3023169da447c2af	1	true	2018-05-23T15:00:00.560Z
5b0581f053296f000f447d0e	2018-05-23T15:00:00.560Z	0	5af98638ac5680781c7bb943	5af84fe6ac5680781c7bb905	1	true	2018-05-23T15:00:00.560Z
5b0581f053296f000f447d10	2018-05-23T15:00:00.561Z	0	5af99480ac5680781c7bb989	5af85145ac5680781c7bb90a	1	true	2018-05-23T15:00:00.561Z
5b0581f053296f000f447d14	2018-05-23T15:00:00.561Z	0	5afc3d252801f3052630fe04	5af8507aac5680781c7bb907	1	false	2018-05-23T15:00:00.561Z
