routeNumber,isGo2Work,last_stop_name,next_stop_name,seqNumber,next_stop_seq,last_stop_latitude,last_stop_longitude,next_stop_latitude,next_stop_longitude,plannedArrivalTime,segment
4,False,中澳新城景湖居,优越香格里,10,11,22.2596359048,113.486609299,22.2547806655,113.4902559033,18:00,中澳新城景湖居-优越香格里
4,False,优越香格里,中澳丽珠花园,11,12,22.2547806655,113.4902559033,22.2485745081,113.4916291943,18:00,优越香格里-中澳丽珠花园
4,True,中澳丽珠花园,优越香格里,1,2,22.2481971648,113.4919027796,22.255031122,113.4903643917,7:17,中澳丽珠花园-优越香格里
4,True,优越香格里,中澳新城景湖居,2,3,22.255031122,113.4903643917,22.259700445100002,113.4867943715,7:18,优越香格里-中澳新城景湖居
4,True,中澳新城景湖居,安阜工业园,3,4,22.259700445100002,113.4867943715,22.2630050691,113.480019685,7:22,中澳新城景湖居-安阜工业园
4,True,安阜工业园,锦绣阳光花园,4,5,22.2630050691,113.480019685,22.2842250217,113.4640770399,7:28,安阜工业园-锦绣阳光花园
4,True,锦绣阳光花园,汇星建材市场,5,6,22.2842250217,113.4640770399,22.2786180217,113.4620010399,7:30,锦绣阳光花园-汇星建材市场
4,True,汇星建材市场,龙塘,6,7,22.2786180217,113.4620010399,22.2949469141,113.4531808187,7:34,汇星建材市场-龙塘
4,True,龙塘,振华路中,7,8,22.2949469141,113.4531808187,22.347500854099998,113.45036446479999,7:44,龙塘-振华路中
4,True,振华路中,雅湖居,8,9,22.347500854099998,113.45036446479999,22.3507768347,113.43968549190001,7:46,振华路中-雅湖居
4,True,雅湖居,雅居乐路口,9,10,22.3507768347,113.43968549190001,22.363544373299998,113.4444826327,7:48,雅湖居-雅居乐路口
4,True,雅居乐路口,富和名都,10,11,22.363544373299998,113.4444826327,22.3633771356,113.449519939,7:50,雅居乐路口-富和名都
4,True,富和名都,南方软件园,11,12,22.3633771356,113.449519939,22.372630798200003,113.5759242192,8:30,富和名都-南方软件园
5,False,南方软件园,普陀寺,1,2,22.372630798200003,113.5759242192,22.3128881345,113.5284784877,18:00,南方软件园-普陀寺
5,False,普陀寺,东坑西,2,3,22.3128881345,113.5284784877,22.302650729099998,113.52041941889999,18:00,普陀寺-东坑西
5,False,东坑西,长沙,3,4,22.302650729099998,113.52041941889999,22.279278461100002,113.50301038370002,18:00,东坑西-长沙
5,False,长沙,公交花园,4,5,22.279278461100002,113.50301038370002,22.266185679499998,113.557874897,18:00,长沙-公交花园
5,False,公交花园,城轨明珠站,5,6,22.266185679499998,113.557874897,22.2687176902,113.51547352889999,18:00,公交花园-城轨明珠站
5,False,城轨明珠站,上冲,6,7,22.2687176902,113.51547352889999,22.264188295900002,113.51526353889999,18:00,城轨明珠站-上冲
5,False,上冲,新香洲万家,7,8,22.264188295900002,113.51526353889999,22.2662544344,113.5265180475,18:00,上冲-新香洲万家
5,True,安居园,新香洲万家,1,2,22.2670139869,113.53083372180001,22.266487761399997,113.52734148559999,7:29,安居园-新香洲万家
5,True,新香洲万家,上冲,2,3,22.266487761399997,113.52734148559999,22.265720425300003,113.52210028260001,7:31,新香洲万家-上冲
5,True,上冲,城轨明珠站,3,4,22.265720425300003,113.52210028260001,22.268723872,113.5154698619,7:32,上冲-城轨明珠站
5,True,城轨明珠站,公交花园,4,5,22.268723872,113.5154698619,22.2710558773,113.51297153659999,7:34,城轨明珠站-公交花园
5,True,公交花园,长沙,5,6,22.2710558773,113.51297153659999,22.2785360331,113.5112847472,7:39,公交花园-长沙
5,True,长沙,东坑西,6,7,22.2785360331,113.5112847472,22.3024484438,113.5206859663,7:50,长沙-东坑西
5,True,东坑西,普陀寺,7,8,22.3024484438,113.5206859663,22.3130022777,113.5294977272,7:51,东坑西-普陀寺
5,True,普陀寺,南方软件园,8,9,22.3130022777,113.5294977272,22.372630798200003,113.5759242192,8:30,普陀寺-南方软件园
6,False,南方软件园,裕华公司,1,2,22.372630798200003,113.5759242192,22.3650076166,113.6006161186,18:00,南方软件园-裕华公司
