|latitude|longitude|routeNumber|updated|plannedArrivalTime|device|segment|ATE
51|22.270124|113.527473|1|2018-05-21 23:41:20.522|7:40|0|2|2018-05-21 23:55:23.612
52|22.270185|113.527473|1|2018-05-21 23:41:36.902|7:40|0|2|2018-05-21 23:55:23.612
53|22.27017|113.52748899999999|1|2018-05-21 23:41:53.519|7:40|0|2|2018-05-21 23:55:23.612
54|22.270203|113.52748899999999|1|2018-05-21 23:42:09.865|7:40|0|2|2018-05-21 23:55:23.612
55|22.270187|113.52750400000001|1|2018-05-21 23:42:26.524|7:40|0|2|2018-05-21 23:55:23.612
56|22.270184|113.52750400000001|1|2018-05-21 23:42:42.620|7:40|0|2|2018-05-21 23:55:23.612
57|22.27149|113.535225|1|2018-05-21 23:46:37.171|7:40|0|2|2018-05-21 23:55:23.612
58|22.271496|113.53528600000001|1|2018-05-21 23:46:53.571|7:40|0|2|2018-05-21 23:55:23.612
59|22.271481|113.53551499999999|1|2018-05-21 23:47:10.032|7:40|0|2|2018-05-21 23:55:23.612
60|22.271688|113.536942|1|2018-05-21 23:47:26.769|7:40|0|2|2018-05-21 23:55:23.612
61|22.271681|113.537247|1|2018-05-21 23:47:42.943|7:40|0|2|2018-05-21 23:55:23.612
62|22.271826|113.537857|1|2018-05-21 23:47:59.043|7:40|0|2|2018-05-21 23:55:23.612
63|22.272181|113.539429|1|2018-05-21 23:48:15.224|7:40|0|2|2018-05-21 23:55:23.612
64|22.272194|113.540398|1|2018-05-21 23:48:32.782|7:40|0|2|2018-05-21 23:55:23.612
65|22.272223|113.540497|1|2018-05-21 23:48:50.383|7:40|0|2|2018-05-21 23:55:23.612
66|22.272474|113.54173300000001|1|2018-05-21 23:49:06.743|7:40|0|2|2018-05-21 23:55:23.612
67|22.273220000000002|113.54623400000001|1|2018-05-21 23:49:37.704|7:40|0|2|2018-05-21 23:55:23.612
68|22.273464|113.547569|1|2018-05-21 23:49:58.797|7:40|0|2|2018-05-21 23:55:23.612
69|22.273771|113.549034|1|2018-05-21 23:50:15.561|7:40|0|2|2018-05-21 23:55:23.612
70|22.273993|113.55016299999998|1|2018-05-21 23:50:31.718|7:40|0|2|2018-05-21 23:55:23.612
71|22.274096|113.55066699999999|1|2018-05-21 23:50:47.798|7:40|0|2|2018-05-21 23:55:23.612
72|22.274099|113.55070500000001|1|2018-05-21 23:51:03.881|7:40|0|2|2018-05-21 23:55:23.612
73|22.274110999999998|113.55072|1|2018-05-21 23:51:19.939|7:40|0|2|2018-05-21 23:55:23.612
74|22.274113|113.550728|1|2018-05-21 23:51:36.002|7:40|0|2|2018-05-21 23:55:23.612
75|22.274223000000003|113.550743|1|2018-05-21 23:51:52.100|7:40|0|2|2018-05-21 23:55:23.612
76|22.274338|113.55139199999999|1|2018-05-21 23:52:06.160|7:40|0|2|2018-05-21 23:55:23.612
77|22.274441|113.55250500000001|1|2018-05-21 23:52:20.281|7:40|0|2|2018-05-21 23:55:23.612
78|22.274521|113.553001|1|2018-05-21 23:52:34.439|7:40|0|2|2018-05-21 23:55:23.612
79|22.274448|113.55296299999999|1|2018-05-21 23:52:48.460|7:40|0|2|2018-05-21 23:55:23.612
80|22.274561|113.552994|1|2018-05-21 23:53:02.581|7:40|0|2|2018-05-21 23:55:23.612
81|22.274527|113.552994|1|2018-05-21 23:53:16.663|7:40|0|2|2018-05-21 23:55:23.612
82|22.274525|113.55289499999999|1|2018-05-21 23:53:30.861|7:40|0|2|2018-05-21 23:55:23.612
83|22.274479|113.55308500000001|1|2018-05-21 23:53:44.940|7:40|0|2|2018-05-21 23:55:23.612
